gene_set_label	normalized_enrichment_score	statistical_significance
DNA_DAMAGE_SIGNALLING	1.846	0.002
MAP00193_ATP_synthesis	1.823	0.004
MAP00195_Photosynthesis	1.823	0.004
MAP03070_Type_III_secretion_system	1.823	0.004
MAP00480_Glutathione_metabolism	1.798	0.012
cell_cycle_checkpointII	1.768	0.004
CR_CELL_CYCLE	1.746	0.014
ST_Ga13_Pathway	1.707	0.017
ANTI_CD44_UP	1.698	0.019
cell2cellPathway	1.695	0.012
il10Pathway	1.694	0.017
Cell_Cycle	1.687	0.035
g2Pathway	1.686	0.020
MAP00600_Sphingoglycolipid_metabolism	1.682	0.030
neutrophilPathway	1.679	0.020
ST_Gaq_Pathway	1.670	0.021
MAP00530_Aminosugars_metabolism	1.659	0.023
HOXA9_DOWN	1.657	0.022
compPathway	1.640	0.010
stemPathway	1.640	0.017
MAP00531_Glycosaminoglycan_degradation	1.634	0.029
mRNA_splicing	1.626	0.014
eif2Pathway	1.617	0.018
SA_MMP_CYTOKINE_CONNECTION	1.615	0.045
tsp1Pathway	1.605	0.024
p53Pathway	1.604	0.037
integrinPathway	1.597	0.045
KRAS_TOP100_KNOCKDOWN	1.586	0.033
rbPathway	1.583	0.036
alternativePathway	1.583	0.036
CR_REPAIR	1.582	0.039
MAP00680_Methane_metabolism	1.582	0.034
MAP_kinase_kinase_activity	1.581	0.014
Matrix_Metalloproteinases	1.580	0.030
cell_adhesion_molecule_activity	1.578	0.018
GO_ROS	1.574	0.037
cell_adhesion	1.572	0.019
arfPathway	1.567	0.034
tertPathway	1.562	0.039
ROS	1.560	0.039
DOWNREG_BY_HOXA9	1.559	0.034
NFKB_REDUCED	1.559	0.041
MAP00910_Nitrogen_metabolism	1.553	0.029
MAP00603_Globoside_metabolism	1.553	0.043
fbw7Pathway	1.546	0.066
Proteasome_Degradation	1.541	0.055
tollPathway	1.528	0.045
radiation_sensitivity	1.525	0.041
reckPathway	1.518	0.040
eosinophilsPathway	1.517	0.044
extrinsicPathway	1.507	0.045
stressPathway	1.504	0.041
il6Pathway	1.503	0.067
il1rPathway	1.502	0.074
mRNA_processing	1.501	0.069
cell_motility	1.498	0.030
41bbPathway	1.497	0.049
monocytePathway	1.496	0.084
Pentose_Phosphate_Pathway	1.492	0.041
telPathway	1.488	0.043
HTERT_DOWN	1.486	0.034
pepiPathway	1.483	0.068
pgc1aPathway	1.482	0.069
MAP00380_Tryptophan_metabolism	1.481	0.076
il5Pathway	1.480	0.068
MAP00230_Purine_metabolism	1.478	0.077
ranklPathway	1.476	0.070
th1th2Pathway	1.473	0.077
CR_CAM	1.466	0.044
lymphocytePathway	1.464	0.085
S1P_Signaling	1.464	0.077
MAP00970_Aminoacyl_tRNA_biosynthesis	1.464	0.078
il18Pathway	1.463	0.082
p27Pathway	1.461	0.047
cell_cycle_checkpoint	1.461	0.102
AR_ORTHOS_MAPPED_TO_U133_VIA_NETAFFX	1.460	0.058
AR_MOUSE	1.460	0.058
cell_adhesion_receptor_activity	1.456	0.072
ldlPathway	1.456	0.094
mspPathway	1.449	0.059
freePathway	1.446	0.083
ST_G_alpha_i_Pathway_	1.445	0.089
MAP00340_Histidine_metabolism	1.437	0.072
pentosePathway	1.432	0.058
GLYCOL	1.432	0.128
cdc25Pathway	1.431	0.112
ifngPathway	1.431	0.084
Eicosanoid_Synthesis	1.429	0.075
krebPathway	1.423	0.100
atrbrcaPathway	1.423	0.126
tnfr2Pathway	1.415	0.101
MAP00860_Porphyrin_and_chlorophyll_metabolism	1.414	0.126
lairPathway	1.411	0.117
ADULT_LIVER_vs_FETAL_LIVER_GNF2	1.409	0.064
classicPathway	1.404	0.110
setPathway	1.399	0.084
dcPathway	1.398	0.107
