gene_set_label	normalized_enrichment_score	statistical_significance
ace2Pathway	2.000	0.000
achPathway	2.000	0.000
agpcrPathway	2.000	0.000
aifPathway	2.000	0.000
akap96Pathway	2.000	0.000
aktPathway	2.000	0.000
alternativePathway	2.000	0.000
anthraxPathway	2.000	0.000
arapPathway	2.000	0.000
arfPathway	2.000	0.000
asbcellPathway	2.000	0.000
atmPathway	2.000	0.000
badPathway	2.000	0.000
bcl2family_and_reg_network	2.000	0.000
betaoxidationPathway	2.000	0.000
blymphocytePathway	2.000	0.000
breast_cancer_estrogen_signalling	2.000	0.000
cacamPathway	2.000	0.000
cardiacegfPathway	2.000	0.000
carm-erPathway	2.000	0.000
caspasePathway	2.000	0.000
ccr3Pathway	2.000	0.000
cd40Pathway	2.000	0.000
cdc42racPathway	2.000	0.000
cdmacPathway	2.000	0.000
cell_adhesion_molecule_activity	2.000	0.000
Cell_Cycle	2.000	0.000
cell_cycle_checkpoint	2.000	0.000
cell_cycle_regulator	2.000	0.000
cell_growth_and_or_maintenance	2.000	0.000
cell_proliferation	2.000	0.000
cell2cellPathway	2.000	0.000
ceramidePathway	2.000	0.000
chemicalPathway	2.000	0.000
circadianPathway	2.000	0.000
classicPathway	2.000	0.000
compPathway	2.000	0.000
CR_ANGIOG	2.000	0.000
CR_CANCER_TESTIS	2.000	0.000
CR_CYTOSKELETON	2.000	0.000
CR_DNA_MET_AND_MOD	2.000	0.000
CR_IMMUNE_FUNCTION	2.000	0.000
CR_REPAIR	2.000	0.000
CR_TRANSCRIPTION_FACTORS	2.000	0.000
CR_TRANSPORT_OF_VESICLES	2.000	0.000
cremPathway	2.000	0.000
ctla4Pathway	2.000	0.000
cxcr4Pathway	2.000	0.000
d4gdiPathway	2.000	0.000
dcPathway	2.000	0.000
DNA_DAMAGE_SIGNALLING	2.000	0.000
dreamPathway	2.000	0.000
ecmPathway	2.000	0.000
eea1Pathway	2.000	0.000
egfPathway	2.000	0.000
Eicosanoid_Synthesis	2.000	0.000
eif4Pathway	2.000	0.000
Electron_Transport_Chain	2.000	0.000
eosinophilsPathway	2.000	0.000
eponfkbPathway	2.000	0.000
erbb3Pathway	2.000	0.000
erk5Pathway	2.000	0.000
erythPathway	2.000	0.000
etsPathway	2.000	0.000
fasPathway	2.000	0.000
fatty_acid_metabolism	2.000	0.000
fbw7Pathway	2.000	0.000
feederPathway	2.000	0.000
flumazenilPathway	2.000	0.000
fosbPathway	2.000	0.000
fxrPathway	2.000	0.000
g1Pathway	2.000	0.000
g2Pathway	2.000	0.000
gata3Pathway	2.000	0.000
ghPathway	2.000	0.000
Glycogen_Metabolism	2.000	0.000
gpcrPathway	2.000	0.000
GPCRs_Class_A_Rhodopsin-like_2	2.000	0.000
GPCRs_Class_C_Metabotropic_glutamate_pheromone	2.000	0.000
gsPathway	2.000	0.000
hcmvPathway	2.000	0.000
hifPathway	2.000	0.000
hsp27Pathway	2.000	0.000
ifnaPathway	2.000	0.000
ifngPathway	2.000	0.000
igf1Pathway	2.000	0.000
il10Pathway	2.000	0.000
il17Pathway	2.000	0.000
il1rPathway	2.000	0.000
il2Pathway	2.000	0.000
il3Pathway	2.000	0.000
il5Pathway	2.000	0.000
il7Pathway	2.000	0.000
inflamPathway	2.000	0.000
insulinPathway	2.000	0.000
intrinsicPathway	2.000	0.000
keratinocytePathway	2.000	0.000
krebPathway	2.000	0.000
lairPathway	2.000	0.000
lechtinPathway	2.000	0.000
longevityPathway	2.000	0.000
malatePathway	2.000	0.000
MAP_kinase_activity	2.000	0.000
MAP00010_Glycolysis_Gluconeogenesis	2.000	0.000
MAP00030_Pentose_phosphate_pathway	2.000	0.000
MAP00052_Galactose_metabolism	2.000	0.000
MAP00071_Fatty_acid_metabolism	2.000	0.000
MAP00120_Bile_acid_biosynthesis	2.000	0.000
MAP00150_Androgen_and_estrogen_metabolism	2.000	0.000
MAP00193_ATP_synthesis	2.000	0.000
MAP00220_Urea_cycle_and_metabolism_of_amino_groups	2.000	0.000
MAP00240_Pyrimidine_metabolism	2.000	0.000
MAP00252_Alanine_and_aspartate_metabolism	2.000	0.000
MAP00260_Glycine_serine_and_threonine_metabolism	2.000	0.000
MAP00272_Cysteine_metabolism	2.000	0.000
MAP00280_Valine_leucine_and_isoleucine_degradation	2.000	0.000
MAP00310_Lysine_degradation	2.000	0.000
MAP00340_Histidine_metabolism	2.000	0.000
MAP00360_Phenylalanine_metabolism	2.000	0.000
MAP00380_Tryptophan_metabolism	2.000	0.000
MAP00410_beta_Alanine_metabolism	2.000	0.000
MAP00450_Selenoamino_acid_metabolism	2.000	0.000
MAP00480_Glutathione_metabolism	2.000	0.000
MAP00510_N_Glycans_biosynthesis	2.000	0.000
MAP00530_Aminosugars_metabolism	2.000	0.000
MAP00532_Chondroitin_Heparan_sulfate_biosynthesis	2.000	0.000
MAP00533_Keratan_sulfate_biosynthesis	2.000	0.000
MAP00562_Inositol_phosphate_metabolism	2.000	0.000
MAP00600_Sphingoglycolipid_metabolism	2.000	0.000
MAP00602_Blood_group_glycolipid_biosynthesis_neolact_series	2.000	0.000
MAP00620_Pyruvate_metabolism	2.000	0.000
MAP00632_Benzoate_degradation	2.000	0.000
MAP00640_Propanoate_metabolism	2.000	0.000
MAP00670_One_carbon_pool_by_folate	2.000	0.000
MAP00710_Carbon_fixation	2.000	0.000
MAP00740_Riboflavin_metabolism	2.000	0.000
MAP00790_Folate_biosynthesis	2.000	0.000
MAP00910_Nitrogen_metabolism	2.000	0.000
MAP03020_RNA_polymerase	2.000	0.000
MAPK_Cascade	2.000	0.000
mapkPathway	2.000	0.000
mcalpainPathway	2.000	0.000
methioninePathway	2.000	0.000
mitochondriaPathway	2.000	0.000
monocytePathway	2.000	0.000
mRNA_binding_activity	2.000	0.000
mRNA_splicing	2.000	0.000
mspPathway	2.000	0.000
mtorPathway	2.000	0.000
myosinPathway	2.000	0.000
neurotransmittersPathway	2.000	0.000
nfatPathway	2.000	0.000
ngfPathway	2.000	0.000
nktPathway	2.000	0.000
no2il12Pathway	2.000	0.000
notchPathway	2.000	0.000
ox40Pathway	2.000	0.000
p35alzheimersPathway	2.000	0.000
p53_signalling	2.000	0.000
p53Pathway	2.000	0.000
parkinPathway	2.000	0.000
pdgfPathway	2.000	0.000
Pentose_Phosphate_Pathway	2.000	0.000
pepiPathway	2.000	0.000
pitx2Pathway	2.000	0.000
plcdPathway	2.000	0.000
plcPathway	2.000	0.000
pmlPathway	2.000	0.000
ppargPathway	2.000	0.000
pparPathway	2.000	0.000
proteasomePathway	2.000	0.000
ptc1Pathway	2.000	0.000
ptenPathway	2.000	0.000
rabPathway	2.000	0.000
raccycdPathway	2.000	0.000
ranklPathway	2.000	0.000
rarPathway	2.000	0.000
rasPathway	2.000	0.000
